Season,GMT,GMT,GMT,GMT,GMT,GMT,BST,BST,BST,BST,BST,BST,GMT2,GMT2,GMT2,GMT2,GMT2,GMT2
Day,Weekday,Weekday,Saturday,Saturday,Sunday,Sunday,Weekday,Weekday,Saturday,Saturday,Sunday,Sunday,Weekday,Weekday,Saturday,Saturday,Sunday,Sunday
Type,Energy,Fraction,Energy,Fraction,Energy,Fraction,Energy,Fraction,Energy,Fraction,Energy,Fraction,Energy,Fraction,Energy,Fraction,Energy,Fraction
StartDate,2008-01-01,2008-01-01,2008-01-01,2008-01-01,2008-01-01,2008-01-01,2008-03-30,2008-03-30,2008-03-30,2008-03-30,2008-03-30,2008-03-30,2008-10-26,2008-10-26,2008-10-26,2008-10-26,2008-10-26,2008-10-26
EndDate,2008-03-29,2008-03-29,2008-03-29,2008-03-29,2008-03-29,2008-03-29,2008-10-25,2008-10-25,2008-10-25,2008-10-25,2008-10-25,2008-10-25,2008-12-31,2008-12-31,2008-12-31,2008-12-31,2008-12-31,2008-12-31
Timezone,Europe/London,,,,,,,,,,,,,,,,,
00:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
01:00,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
01:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
02:00,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
02:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
03:00,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
03:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
04:00,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
04:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
05:00,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
05:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
06:00,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
06:30,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0,64.3,0
07:00,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0
07:30,80,0.02,80,0,80,0,80,0.02,80,0,80,0,80,0.02,80,0,80,0
08:00,110,0.08,110,0,110,0,110,0.08,110,0,110,0,110,0.08,110,0,110,0
08:30,150,0.2,150,0,150,0,150,0.2,150,0,150,0,150,0.2,150,0,150,0
09:00,166,0.4,166,0,166,0,166,0.4,166,0,166,0,166,0.4,166,0,166,0
09:30,170.5,0.6,170.5,0,170.5,0,170.5,0.6,170.5,0,170.5,0,170.5,0.6,170.5,0,170.5,0
10:00,170.5,0.9,170.5,0,170.5,0,170.5,0.9,170.5,0,170.5,0,170.5,0.9,170.5,0,170.5,0
10:30,170.5,0.98,170.5,0,170.5,0,170.5,0.98,170.5,0,170.5,0,170.5,0.98,170.5,0,170.5,0
11:00,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
11:30,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
12:00,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
12:30,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
13:00,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
13:30,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
14:00,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
14:30,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
15:00,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
15:30,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
16:00,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
16:30,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0,170.5,1,170.5,0,170.5,0
17:00,170.5,0.98,170.5,0,170.5,0,170.5,0.98,170.5,0,170.5,0,170.5,0.98,170.5,0,170.5,0
17:30,170.5,0.9,170.5,0,170.5,0,170.5,0.9,170.5,0,170.5,0,170.5,0.9,170.5,0,170.5,0
18:00,170.5,0.6,170.5,0,170.5,0,170.5,0.6,170.5,0,170.5,0,170.5,0.6,170.5,0,170.5,0
18:30,170.5,0.4,170.5,0,170.5,0,170.5,0.4,170.5,0,170.5,0,170.5,0.4,170.5,0,170.5,0
19:00,170.5,0.2,170.5,0,170.5,0,170.5,0.2,170.5,0,170.5,0,170.5,0.2,170.5,0,170.5,0
19:30,170.5,0.08,170.5,0,170.5,0,170.5,0.08,170.5,0,170.5,0,170.5,0.08,170.5,0,170.5,0
20:00,170.5,0.02,170.5,0,170.5,0,170.5,0.02,170.5,0,170.5,0,170.5,0.02,170.5,0,170.5,0
20:30,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0
21:00,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0
21:30,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0,170.5,0
22:00,166,0,166,0,166,0,166,0,166,0,166,0,166,0,166,0,166,0
22:30,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0
23:00,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0
23:30,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0
00:00,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0
